01,うめの開花日,"ハクバイ 
ブンゴウメ"
02,つばきの開花日,ヤブツバキ
03,たんぽぽの開花日,"タンポポ
セイヨウタンポポ"
04,さくらの開花日,"ソメイヨシノ
エゾヤマザクラ
チシマザクラ
ヒカンザクラ"
05,さくらの満開日,"ソメイヨシノ
エゾヤマザクラ
チシマザクラ
ヒカンザクラ"
06,つつじの開花日,"ヤマツツジ
エゾムラサキツツジ
コバノミツバツツジ
ケラマツツジ
タイワンヤマツツジ
ミツバツツジ"
07,のだふじの開花日,ノダフジ
08,やまはぎの開花日,ヤマハギ
09,あじさい（真の花）の開花日,アジサイ
10,さるすべりの開花日,サルスベリ
11,すすきの開花日,ススキ
12,いちょうの発芽日,イチョウ
13,いちょうの黄葉日,イチョウ
14,いちょうの落葉日,イチョウ
15,かえでの紅葉日,"イロハカエデ
ヤマモミジ
オオモミジ
イタヤカエデ"
16,かえでの落葉日,"イロハカエデ
ヤマモミジ
オオモミジ
イタヤカエデ"
17,ひばりの初鳴日,ヒバリ
18,うぐいすの初鳴日,ウグイス
19,つばめの初見日,ツバメ
20,もんしろちょうの初見日,モンシロチョウ
21,きあげはの初見日,キアゲハ
22,とのさまがえるの初見日,トノサマガエル・トウキョウダルマガエル
23,しおからとんぼの初見日,"シオカラトンボ
オオシオカラトンボ"
24,ほたるの初見日,"ゲンジボタル・ヘイケボタル
ミヤコマドボタル
クロイワボタル"
25,あぶらぜみの初鳴日,"アブラゼミ
リュウキュウアブラゼミ"
26,ひぐらしの初鳴日,ヒグラシ
27,もずの初鳴日,モズ
28,あんずの開花日,アンズ
29,あんずの満開日,アンズ
30,おおしまざくらの開花日,オオシマザクラ
31,おおしまざくらの満開日,オオシマザクラ
32,かきの開花日,カキ
33,からまつの発芽日,カラマツ
34,ききょうの開花日,キキョウ
35,くりの開花日,クリ
36,くわの発芽日,クワ
37,くわの落葉日,クワ
38,さざんかの開花日,サザンカ
39,しだれやなぎの発芽日,シダレヤナギ
40,しばの発芽日,シバ
41,しろつめくさの開花日,シロツメクサ
42,すいせんの開花日,"スイセン
ヤエザキスイセン"
43,すみれの開花日,"スミレ
リュウキュウコスミレ"
44,ちゃの発芽日,チャ
45,チューリップの開花日,チューリップ
46,てっぽうゆりの開花日,テッポウユリ
47,でいごの開花日,デイゴ
48,なしの開花日,ナシ
49,ひがんざくらの開花日,ヒガンザクラ
50,ひがんざくらの満開日,ヒガンザクラ
51,ひがんばなの開花日,"ヒガンバナ
ショウキズイセン"
52,ももの開花日,モモ
53,やまぶきの開花日,"ヤマブキ
ヤエザキヤマブキ"
54,ライラックの開花日,ライラック
55,りんごの開花日,リンゴ
56,あきあかねの初見日,アキアカネ
57,えんまこおろぎの初鳴日,エンマコオロギ
58,かっこうの初鳴日,カッコウ
59,くさぜみの初鳴日,イワサキクサゼミ
60,くまぜみの初鳴日,"クマゼミ 
リュウキュウクマゼミ"
61,さしばの南下の初見日,サシバ
62,つくつくほうしの初鳴日,ツクツクホウシ
63,とかげの初見日,トカゲ
64,にいにいぜみの初鳴日,"ニイニイゼミ
クロイワニイニイ
ミヤコニイニイ"
65,にほんあまがえるの初鳴日,ニホンアマガエル
66,にほんあまがえるの初見日,ニホンアマガエル
67,はるぜみの初鳴日,ハルゼミ
68,みんみんぜみの初鳴日,ミンミンゼミ
